stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
747,,"CHIEULLES",,49.159388,6.228902,,http://lemet.fr/screen/index2.php?stop=747,0,,2
746,,"CHIEULLES",,49.159482,6.228822,,http://lemet.fr/screen/index2.php?stop=746,0,,2
125,,"LES CHILOUX",,49.148845,6.143083,,http://lemet.fr/screen/index2.php?stop=125,0,,1
649,,"CHATEL MAIRIE",,49.122211,6.081531,,http://lemet.fr/screen/index2.php?stop=649,0,,2
110,,"CHARLES PETRE",,49.105162,6.166510,,http://lemet.fr/screen/index2.php?stop=110,0,,2
93,,"CHARLES PETRE",,49.105362,6.166723,,http://lemet.fr/screen/index2.php?stop=93,0,,2
6190,,"CIMETIERE DE L'EST",,49.109880,6.203370,,http://lemet.fr/screen/index2.php?stop=6190,0,,1
6195,,"CIMETIERE DE L'EST",,49.109380,6.204139,,http://lemet.fr/screen/index2.php?stop=6195,0,,1
5048,,"CIMETIERE",,49.137145,6.205757,,http://lemet.fr/screen/index2.php?stop=5048,0,,1
5038,,"CIMETIERE",,49.137238,6.205973,,http://lemet.fr/screen/index2.php?stop=5038,0,,1
79,,"CITE SNCF",,49.090784,6.128191,,http://lemet.fr/screen/index2.php?stop=79,0,,1
73,,"CITE SNCF",,49.090555,6.127341,,http://lemet.fr/screen/index2.php?stop=73,0,,1
186,,"CLAUDEL",,49.101696,6.199568,,http://lemet.fr/screen/index2.php?stop=186,0,,1
189,,"CLAUDEL",,49.101675,6.198796,,http://lemet.fr/screen/index2.php?stop=189,0,,1
827,,"CLEMENCEAU",,49.080950,6.084650,,http://lemet.fr/screen/index2.php?stop=827,0,,1
821,,"CLEMENCEAU",,49.080190,6.083839,,http://lemet.fr/screen/index2.php?stop=821,0,,1
1021,,"RUE DES CLERCS",,49.117634,6.174177,,http://lemet.fr/screen/index2.php?stop=1021,0,,2
314,,"CLERY",,49.122054,6.080144,,http://lemet.fr/screen/index2.php?stop=314,0,,2
659,,"CLERY",,49.121180,6.080617,,http://lemet.fr/screen/index2.php?stop=659,0,,2
405,,"CLETTE",,49.133306,6.133817,,http://lemet.fr/screen/index2.php?stop=405,0,,2
404,,"CLETTE",,49.133149,6.133578,,http://lemet.fr/screen/index2.php?stop=404,0,,2
932,,"CLEMENT ADER",,49.089306,6.149641,,http://lemet.fr/screen/index2.php?stop=932,0,,2
925,,"CLEMENT ADER",,49.089360,6.149513,,http://lemet.fr/screen/index2.php?stop=925,0,,2
6240,,"CLOUTIERS",,49.114068,6.230111,,http://lemet.fr/screen/index2.php?stop=6240,0,,1
6245,,"CLOUTIERS",,49.114069,6.230111,,http://lemet.fr/screen/index2.php?stop=6245,0,,1
552,,"CLOUTIERS",,49.114657,6.228721,,http://lemet.fr/screen/index2.php?stop=552,0,,1
549,,"CLOUTIERS",,49.114841,6.229425,,http://lemet.fr/screen/index2.php?stop=549,0,,1
1022,,"COETLOSQUET",,49.114505,6.176820,,http://lemet.fr/screen/index2.php?stop=1022,0,,2
1023,,"COETLOSQUET",,49.114410,6.176863,,http://lemet.fr/screen/index2.php?stop=1023,0,,2
5069,,"COIN-LES-CUVRY",,49.033599,6.155319,,http://lemet.fr/screen/index2.php?stop=5069,0,,2
5075,,"COIN-LES-CUVRY",,49.033533,6.155111,,http://lemet.fr/screen/index2.php?stop=5075,0,,2
5067,,"COIN-SUR-SEILLE",,49.009062,6.159809,,http://lemet.fr/screen/index2.php?stop=5067,0,,1
6250,,"COLOMBEY",,49.110852,6.230559,,http://lemet.fr/screen/index2.php?stop=6250,0,,1
6255,,"COLOMBEY",,49.110852,6.230559,,http://lemet.fr/screen/index2.php?stop=6255,0,,1
413,,"COLIBRI",,49.130282,6.158433,,http://lemet.fr/screen/index2.php?stop=413,0,,1
396,,"COLIBRI",,49.130103,6.158698,,http://lemet.fr/screen/index2.php?stop=396,0,,2
553,,"COLLEGE JEAN BAUCHEZ",,49.124066,6.152114,,http://lemet.fr/screen/index2.php?stop=553,0,,2
347,,"COLLIGNON",,49.104216,6.187226,,http://lemet.fr/screen/index2.php?stop=347,0,,2
337,,"COLLIGNON",,49.104450,6.187221,,http://lemet.fr/screen/index2.php?stop=337,0,,2
781,,"COLOMBIER",,49.048271,6.185544,,http://lemet.fr/screen/index2.php?stop=781,0,,2
103,,"COLSON",,49.090403,6.166435,,http://lemet.fr/screen/index2.php?stop=103,0,,1
100,,"COLSON",,49.089855,6.166131,,http://lemet.fr/screen/index2.php?stop=100,0,,1
87,,"CONSTANTINE",,49.092004,6.125538,,http://lemet.fr/screen/index2.php?stop=87,0,,1
83,,"CONSTANTINE",,49.092329,6.125090,,http://lemet.fr/screen/index2.php?stop=83,0,,1
964,,"JURY CORBON",,49.067530,6.256580,,http://lemet.fr/screen/index2.php?stop=964,0,,2
906,,"JURY CORBON",,49.067522,6.256128,,http://lemet.fr/screen/index2.php?stop=906,0,,1
492,,"CORCHADE",,49.123104,6.215393,,http://lemet.fr/screen/index2.php?stop=492,0,,2
483,,"CORCHADE",,49.123113,6.215394,,http://lemet.fr/screen/index2.php?stop=483,0,,2
5035,,"COSTES ET BELLONTE",,49.083529,6.148852,,http://lemet.fr/screen/index2.php?stop=5035,0,,1
5001,,"COSTES ET BELLONTE",,49.084244,6.149394,,http://lemet.fr/screen/index2.php?stop=5001,0,,1
688,,"COTEAUX",,49.154783,6.148493,,http://lemet.fr/screen/index2.php?stop=688,0,,1
687,,"COTEAUX",,49.154923,6.148907,,http://lemet.fr/screen/index2.php?stop=687,0,,1
8323,,"COTEAUX DE LA SEILLE",,49.097925,6.189406,,http://lemet.fr/screen/index2.php?stop=8323,0,,2
8324,,"COTEAUX DE LA SEILLE",,49.097811,6.189652,,http://lemet.fr/screen/index2.php?stop=8324,0,,2
691,,"COUBERTIN",,49.091847,6.144800,,http://lemet.fr/screen/index2.php?stop=691,0,,1
506,,"COUBERTIN",,49.092130,6.144821,,http://lemet.fr/screen/index2.php?stop=506,0,,1
159,,"COUPILLON",,49.141383,6.148190,,http://lemet.fr/screen/index2.php?stop=159,0,,2
630,,"COUPILLON",,49.141640,6.148119,,http://lemet.fr/screen/index2.php?stop=630,0,,2
3004,,"COUVENTS",,49.103300,6.153439,,http://lemet.fr/screen/index2.php?stop=3004,0,,1
3013,,"COUVENTS",,49.103599,6.152313,,http://lemet.fr/screen/index2.php?stop=3013,0,,1
831,,"CRIMEE",,49.114362,6.112973,,http://lemet.fr/screen/index2.php?stop=831,0,,2
830,,"CRIMEE",,49.113563,6.113576,,http://lemet.fr/screen/index2.php?stop=830,0,,2
326,,"CROIX D'OREE",,49.132311,6.125594,,http://lemet.fr/screen/index2.php?stop=326,0,,2
829,,"CROISEMENT RD6",,49.093033,6.094850,,http://lemet.fr/screen/index2.php?stop=829,0,,2
819,,"CROISEMENT RD6",,49.093843,6.095458,,http://lemet.fr/screen/index2.php?stop=819,0,,2
6270,,"CITE U",,49.120318,6.159563,,http://lemet.fr/screen/index2.php?stop=6270,0,,1
6275,,"CITE U",,49.119988,6.159676,,http://lemet.fr/screen/index2.php?stop=6275,0,,1
315,,"CUGNOT",,49.085499,6.163466,,http://lemet.fr/screen/index2.php?stop=315,0,,1
570,,"CUVION",,49.092441,6.242709,,http://lemet.fr/screen/index2.php?stop=570,0,,1
569,,"CUVION",,49.092437,6.242739,,http://lemet.fr/screen/index2.php?stop=569,0,,1
5000,,"CUVRY",,49.042924,6.158807,,http://lemet.fr/screen/index2.php?stop=5000,0,,2
5072,,"CUVRY",,49.042924,6.158807,,http://lemet.fr/screen/index2.php?stop=5072,0,,2
891,,"D953",,49.162702,6.160188,,http://lemet.fr/screen/index2.php?stop=891,0,,2
894,,"D953",,49.162763,6.160208,,http://lemet.fr/screen/index2.php?stop=894,0,,2
162,,"DAGA",,49.136627,6.155927,,http://lemet.fr/screen/index2.php?stop=162,0,,2
156,,"DAGA",,49.136455,6.155988,,http://lemet.fr/screen/index2.php?stop=156,0,,2
559,,"DALES",,49.132861,6.165016,,http://lemet.fr/screen/index2.php?stop=559,0,,1
997,,"DALES",,49.133230,6.164190,,http://lemet.fr/screen/index2.php?stop=997,0,,1
259,,"DEMBOUR",,49.106263,6.179429,,http://lemet.fr/screen/index2.php?stop=259,0,,1
232,,"DEMBOUR",,49.106523,6.179279,,http://lemet.fr/screen/index2.php?stop=232,0,,1
180,,"DEVILLY",,49.105037,6.194409,,http://lemet.fr/screen/index2.php?stop=180,0,,2
546,,"DOLICHE",,49.094073,6.245623,,http://lemet.fr/screen/index2.php?stop=546,0,,1
146,,"DOLICHE",,49.094632,6.245910,,http://lemet.fr/screen/index2.php?stop=146,0,,1
810,,"DOUANIERS",,49.170071,6.047941,,http://lemet.fr/screen/index2.php?stop=810,0,,1
798,,"DOUANIERS",,49.169136,6.049008,,http://lemet.fr/screen/index2.php?stop=798,0,,1
448,,"DRAPIERS",,49.109577,6.247579,,http://lemet.fr/screen/index2.php?stop=448,0,,1
445,,"DRAPIERS",,49.109489,6.247751,,http://lemet.fr/screen/index2.php?stop=445,0,,1
346,,"DUCROCQ",,49.101894,6.188220,,http://lemet.fr/screen/index2.php?stop=346,0,,1
338,,"DUCROCQ",,49.101336,6.188396,,http://lemet.fr/screen/index2.php?stop=338,0,,1
495,,"DUNANT",,49.123674,6.203367,,http://lemet.fr/screen/index2.php?stop=495,0,,2
480,,"DUNANT",,49.123912,6.202341,,http://lemet.fr/screen/index2.php?stop=480,0,,2
178,,"DUPLOYE",,49.109431,6.189069,,http://lemet.fr/screen/index2.php?stop=178,0,,2
474,,"DURUTTE",,49.113730,6.202620,,http://lemet.fr/screen/index2.php?stop=474,0,,2
460,,"DURUTTE",,49.113710,6.202610,,http://lemet.fr/screen/index2.php?stop=460,0,,2
6340,,"GRANDES ECOLES",,49.093373,6.230112,,http://lemet.fr/screen/index2.php?stop=6340,0,,1
6345,,"GRANDES ECOLES",,49.093373,6.230111,,http://lemet.fr/screen/index2.php?stop=6345,0,,1
5026,,"LES ECOLES",,49.058991,6.156305,,http://lemet.fr/screen/index2.php?stop=5026,0,,1
5011,,"LES ECOLES",,49.058850,6.156548,,http://lemet.fr/screen/index2.php?stop=5011,0,,1
138,,"EGLISE",,49.099076,6.173745,,http://lemet.fr/screen/index2.php?stop=138,0,,1
236,,"EGLISE",,49.098724,6.173378,,http://lemet.fr/screen/index2.php?stop=236,0,,1
5054,,"ERABLES",,49.131655,6.205405,,http://lemet.fr/screen/index2.php?stop=5054,0,,1
5040,,"ERABLES",,49.131326,6.205180,,http://lemet.fr/screen/index2.php?stop=5040,0,,1
789,,"ERMITAGE",,49.118285,6.096176,,http://lemet.fr/screen/index2.php?stop=789,0,,2
786,,"ERMITAGE",,49.118339,6.096493,,http://lemet.fr/screen/index2.php?stop=786,0,,2
64,,"EUROPA COURCELLES",,49.101840,6.158270,,http://lemet.fr/screen/index2.php?stop=64,0,,1
39,,"EUROPA COURCELLES",,49.102140,6.158850,,http://lemet.fr/screen/index2.php?stop=39,0,,1
6350,,"P+R FOIRE EXPO",,49.091479,6.231423,,http://lemet.fr/screen/index2.php?stop=6350,0,,1
6355,,"P+R FOIRE EXPO",,49.091478,6.231423,,http://lemet.fr/screen/index2.php?stop=6355,0,,1
752,,"FALEE",,49.132878,6.252840,,http://lemet.fr/screen/index2.php?stop=752,0,,1
753,,"FALEE",,49.133140,6.253600,,http://lemet.fr/screen/index2.php?stop=753,0,,1
